mid,Acertou na trave_casa,Acertou na trave_fora,Alívios_casa,Alívios_fora,Assistências esperadas (xA)_casa,Assistências esperadas (xA)_fora,Cantos_casa,Cantos_fora,Cartões amarelos_casa,Cartões amarelos_fora,Cruzamentos_casa,Cruzamentos_fora,Defesas guarda-redes_casa,Defesas guarda-redes_fora,Desarmes_casa,Desarmes_fora,Duelos ganhos_casa,Duelos ganhos_fora,Erros que dão golo_casa,Erros que dão golo_fora,Erros que dão remate_casa,Erros que dão remate_fora,Faltas_casa,Faltas_fora,Foras de Jogo_casa,Foras de Jogo_fora,Golos de cabeça_casa,Golos de cabeça_fora,Golos esperados (xG)_casa,Golos esperados (xG)_fora,Golos evitados_casa,Golos evitados_fora,Grandes oportunidades_casa,Grandes oportunidades_fora,Interceções_casa,Interceções_fora,Lançamentos_casa,Lançamentos_fora,Livres_casa,Livres_fora,Passes em profundidade certos_casa,Passes em profundidade certos_fora,Passes longos_casa,Passes longos_fora,Passes no último terço_casa,Passes no último terço_fora,Passes_casa,Passes_fora,Posse de bola_casa,Posse de bola_fora,Remates bloqueados_casa,Remates bloqueados_fora,Remates dentro da área_casa,Remates dentro da área_fora,Remates fora da área_casa,Remates fora da área_fora,Remates para fora_casa,Remates para fora_fora,Remates à baliza_casa,Remates à baliza_fora,Toques na área adversária_casa,Toques na área adversária_fora,Total remates_casa,Total remates_fora,xG remates à baliza (xGOT)_casa,xG remates à baliza (xGOT)_fora,xGOT enfrentado_casa,xGOT enfrentado_fora
xQXUa3UG,0,1,12,14,0.76,1.32,0,3,0,1,20% (4/20),9% (1/11),5,2,71% (12/17),67% (12/18),40,40,0,0,0,0,11,8,1,0,0,1,0.78,1.66,-0.82,0.30,0,4,8,10,16,12,8,11,0,1,49% (18/37),40% (22/55),69% (100/144),78% (87/111),86% (415/484),83% (372/450),52%,48%,5,1,9,7,4,4,6,3,2,7,32,32,13,11,0.30,2.18,2.18,0.30
buMwbsaT,1,1,13,28,1.00,1.12,7,7,2,2,21% (6/28),36% (8/22),3,7,89% (8/9),59% (10/17),40,42,0,0,1,0,10,11,0,3,,,0.98,2.09,1.37,0.22,2,4,7,9,15,13,11,10,1,1,58% (31/53),29% (13/45),81% (155/191),62% (39/63),88% (498/569),72% (163/225),70%,30%,6,7,7,10,9,6,2,5,8,4,33,26,16,16,1.22,2.37,2.37,1.22
UNC9hLMj,0,1,22,25,0.84,1.27,3,4,0,1,39% (7/18),38% (5/13),5,2,33% (4/12),43% (3/7),42,38,0,0,1,0,9,12,1,0,1,0,0.98,2.53,-0.29,-0.05,3,7,10,5,12,16,12,9,0,3,39% (18/46),38% (14/37),61% (56/92),80% (125/157),80% (261/328),89% (460/518),40%,60%,2,4,8,15,0,2,3,6,3,7,21,41,8,17,0.95,1.71,1.71,0.95
pWfdGOEc,1,0,13,19,0.81,0.38,6,6,2,2,15% (2/13),13% (2/16),2,4,81% (13/16),79% (11/14),43,45,0,0,0,1,13,6,1,1,1,0,1.81,0.31,0.16,-0.17,1,0,12,10,15,11,6,13,1,1,43% (20/46),40% (18/45),69% (102/147),75% (76/101),83% (345/418),88% (445/508),45%,55%,6,2,10,4,11,3,9,3,6,2,33,19,21,7,1.83,0.16,0.16,1.83
Iqg4E2qA,1,0,17,28,1.64,1.29,14,2,2,3,19% (5/27),33% (6/18),1,7,27% (4/15),48% (10/21),46,49,0,0,0,1,9,9,1,0,0,1,3.04,1.57,-0.16,1.68,4,3,6,3,15,11,9,9,1,0,45% (25/55),29% (15/51),86% (155/180),68% (55/81),86% (438/508),79% (262/333),60%,40%,8,3,17,9,7,2,8,6,8,2,44,24,24,11,2.68,0.84,0.84,2.68
zLXUefTr,0,1,15,37,0.87,0.63,9,4,1,0,7% (1/14),38% (3/8),3,2,60% (6/10),68% (19/28),26,42,1,0,0,1,8,4,1,1,,,1.34,1.77,0.65,0.51,2,4,7,11,20,10,4,8,2,1,63% (19/30),50% (20/40),81% (163/201),70% (40/57),89% (426/481),90% (397/440),52%,48%,6,2,10,9,6,3,7,5,3,5,46,20,16,12,1.51,2.65,2.65,1.51
roywfYce,1,0,28,18,1.01,0.56,6,3,1,1,35% (6/17),13% (2/15),3,3,50% (8/16),38% (8/21),41,54,1,0,2,1,11,7,3,1,,,1.73,0.95,-0.53,-0.48,4,1,10,18,12,26,7,11,0,0,35% (18/52),42% (21/50),63% (55/87),77% (144/187),78% (307/396),84% (409/485),45%,55%,5,7,10,6,5,11,5,6,5,4,24,31,15,17,0.52,0.47,0.47,0.52
40PohCS7,0,0,19,23,1.63,0.99,6,2,5,5,6% (1/18),11% (1/9),2,5,67% (12/18),43% (3/7),38,41,1,1,0,1,15,12,2,1,,,1.84,0.89,-0.59,0.28,2,2,11,9,20,19,12,15,2,0,48% (21/44),38% (19/50),73% (90/123),66% (70/106),82% (285/346),83% (376/452),44%,56%,7,2,16,4,5,4,8,3,6,3,35,15,21,8,1.28,0.41,0.41,1.28
W6HXFFKE,1,0,35,26,0.53,0.91,7,7,3,2,38% (9/24),30% (7/23),1,1,71% (15/21),45% (10/22),70,64,0,0,0,0,15,18,0,0,,,1.15,0.41,0.05,-0.22,3,0,10,4,13,18,18,15,0,1,36% (14/39),34% (16/47),75% (63/84),71% (95/134),84% (321/381),82% (316/384),50%,50%,9,3,15,8,5,2,9,6,2,1,30,17,20,10,0.78,0.05,0.05,0.78
CGPuEgkR,0,0,21,26,0.90,1.36,6,4,0,3,16% (4/25),22% (4/18),3,5,67% (8/12),43% (9/21),43,53,0,0,1,2,11,14,0,1,1,0,2.61,1.59,0.46,0.26,4,2,7,7,13,17,14,11,1,2,30% (16/54),49% (24/49),68% (66/97),66% (75/113),76% (239/316),83% (374/453),42%,58%,3,4,13,9,3,4,4,6,9,3,27,27,16,13,3.26,0.46,0.46,3.26
