mid,Acertou na trave_casa,Acertou na trave_fora,Alívios_casa,Alívios_fora,Assistências esperadas (xA)_casa,Assistências esperadas (xA)_fora,Cantos_casa,Cantos_fora,Cartões vermelhos_casa,Cartões vermelhos_fora,Cruzamentos_casa,Cruzamentos_fora,Defesas guarda-redes_casa,Defesas guarda-redes_fora,Desarmes_casa,Desarmes_fora,Duelos ganhos_casa,Duelos ganhos_fora,Erros que dão golo_casa,Erros que dão golo_fora,Erros que dão remate_casa,Erros que dão remate_fora,Faltas_casa,Faltas_fora,Foras de Jogo_casa,Foras de Jogo_fora,Golos esperados (xG)_casa,Golos esperados (xG)_fora,Golos evitados_casa,Golos evitados_fora,Grandes oportunidades_casa,Grandes oportunidades_fora,Interceções_casa,Interceções_fora,Lançamentos_casa,Lançamentos_fora,Livres_casa,Livres_fora,Passes em profundidade certos_casa,Passes em profundidade certos_fora,Passes longos_casa,Passes longos_fora,Passes no último terço_casa,Passes no último terço_fora,Passes_casa,Passes_fora,Posse de bola_casa,Posse de bola_fora,Remates bloqueados_casa,Remates bloqueados_fora,Remates dentro da área_casa,Remates dentro da área_fora,Remates fora da área_casa,Remates fora da área_fora,Remates para fora_casa,Remates para fora_fora,Remates à baliza_casa,Remates à baliza_fora,Toques na área adversária_casa,Toques na área adversária_fora,Total remates_casa,Total remates_fora,xG remates à baliza (xGOT)_casa,xG remates à baliza (xGOT)_fora,xGOT enfrentado_casa,xGOT enfrentado_fora
lQQTzpqQ,2,0,6,19,1.55,0.09,6,1,0,1,25% (5/20),25% (1/4),0,2,57% (4/7),36% (4/11),22,38,0,0,0,1,13,4,3,0,1.95,0.01,0.00,-2.79,5,0,10,8,16,13,4,13,0,0,44% (16/36),43% (20/47),85% (222/261),60% (31/52),91% (598/659),85% (396/466),59%,41%,5,0,10,0,9,1,8,1,6,0,29,6,19,1,1.21,0.00,0.00,1.21
YyRPIpNs,1,0,14,18,1.58,0.21,2,2,,,44% (11/25),31% (4/13),2,2,67% (6/9),75% (6/8),43,41,0,0,0,0,11,10,0,3,1.55,1.03,-0.46,-0.34,4,1,3,9,14,10,10,11,0,0,65% (28/43),39% (21/54),81% (140/173),64% (51/80),89% (566/633),74% (184/250),71%,29%,3,1,9,5,6,3,6,3,6,4,21,9,15,8,3.66,1.54,1.54,3.66
ll9GRu6C,1,0,20,23,1.47,1.33,7,7,,,42% (11/26),21% (4/19),4,4,58% (11/19),53% (9/17),54,48,0,0,1,0,14,15,3,1,1.89,2.12,0.03,1.07,2,2,2,5,14,12,15,14,0,1,75% (21/28),69% (36/52),75% (95/127),88% (84/96),85% (287/337),90% (407/453),43%,57%,6,3,12,8,6,6,7,4,5,7,34,23,18,14,2.07,3.03,3.03,2.07
t2UXGOif,0,0,21,14,1.27,1.92,4,7,,,24% (4/17),47% (8/17),3,2,65% (13/20),80% (12/15),50,48,0,0,2,2,18,17,2,3,2.61,1.55,-0.20,0.25,6,2,9,19,20,18,17,18,2,0,46% (22/48),52% (22/42),68% (56/82),70% (57/82),87% (423/485),84% (307/364),57%,43%,4,4,11,10,3,6,6,8,4,4,17,16,14,16,1.25,0.80,0.80,1.25
l4kgO6aK,0,0,13,19,1.00,0.45,5,4,,,9% (1/11),50% (5/10),5,3,43% (6/14),61% (11/18),49,43,0,1,1,0,12,22,0,2,1.12,0.60,0.60,-1.17,5,1,10,4,18,18,22,12,1,0,62% (23/37),49% (18/37),69% (68/99),80% (86/107),88% (371/423),87% (330/379),53%,47%,3,4,9,6,3,8,4,5,5,5,16,14,12,14,0.83,0.60,0.60,0.83
K8HaVN6m,1,0,30,22,1.21,0.25,2,4,,,38% (5/13),0% (0/14),2,1,65% (11/17),50% (9/18),51,55,0,0,0,1,18,15,3,4,2.13,0.19,-0.06,-1.82,4,0,10,5,17,30,15,18,2,0,49% (22/45),43% (19/44),65% (62/96),63% (69/109),75% (200/266),77% (274/354),43%,57%,5,2,10,2,5,4,6,1,4,3,21,11,15,6,1.18,0.94,0.94,1.18
xUNtF2M6,2,0,12,21,2.04,0.22,9,3,,,25% (5/20),13% (1/8),4,4,64% (14/22),69% (11/16),49,44,1,0,0,0,8,12,1,5,1.92,0.32,-0.73,-0.68,4,1,14,11,9,8,12,8,0,0,68% (28/41),50% (12/24),76% (124/163),81% (71/88),87% (384/440),85% (332/390),54%,46%,5,2,17,1,2,7,7,2,7,4,40,6,19,8,2.32,0.27,0.27,2.32
rm2PPJzP,0,0,18,17,0.62,1.40,1,5,,,18% (2/11),18% (3/17),4,3,35% (6/17),80% (8/10),47,22,0,0,0,0,6,15,1,2,0.58,1.54,-1.39,0.19,1,3,4,13,12,10,15,6,0,1,67% (12/18),82% (31/38),81% (105/130),88% (136/154),90% (410/458),93% (555/596),43%,57%,5,3,6,7,5,6,3,2,3,8,14,29,11,13,0.19,2.61,2.61,0.19
tO58T1y0,0,0,12,39,1.15,0.34,10,1,,,24% (6/25),29% (2/7),2,7,60% (12/20),67% (8/12),59,47,0,0,0,1,16,18,1,2,2.27,0.55,0.22,1.36,2,1,8,3,16,16,18,16,1,0,47% (20/43),35% (13/37),63% (65/104),77% (82/107),75% (195/261),84% (385/457),38%,62%,7,1,12,3,9,5,6,5,8,2,35,8,21,8,2.36,0.22,0.22,2.36
AsMlDtiJ,0,1,3,39,1.13,0.65,2,3,,,21% (5/24),67% (4/6),3,5,56% (5/9),45% (5/11),34,40,0,0,1,1,11,10,4,1,2.67,2.39,-0.09,0.25,4,4,3,8,18,7,10,11,0,1,63% (25/40),47% (22/47),77% (86/112),63% (41/65),88% (437/495),83% (245/294),63%,37%,1,1,13,12,4,3,8,8,8,6,44,26,17,15,3.25,2.91,2.91,3.25
2ZBCBTFE,0,1,40,14,1.41,0.53,1,7,0,1,13% (2/15),15% (4/26),3,2,67% (12/18),71% (10/14),51,49,1,0,1,0,12,15,1,1,1.73,1.73,0.06,0.27,3,5,10,7,11,26,15,12,1,0,54% (26/48),53% (37/70),77% (84/109),70% (86/122),84% (286/341),82% (366/444),43%,57%,1,0,7,8,3,1,5,3,4,5,20,27,10,8,2.27,2.06,2.06,2.27
Cj0mREE8,3,1,15,25,0.95,0.72,10,6,0,1,42% (8/19),31% (4/13),2,9,79% (11/14),85% (11/13),54,51,2,0,2,0,16,15,0,1,1.91,2.35,-0.76,0.95,4,5,7,6,14,11,15,16,0,1,65% (20/31),35% (17/48),81% (132/162),58% (31/53),88% (391/445),74% (176/237),65%,35%,10,2,17,12,16,0,14,5,9,5,38,20,33,12,1.95,2.24,2.24,1.95
h0MSBxAc,0,0,16,31,1.82,0.18,4,3,,,32% (7/22),13% (2/16),1,3,60% (9/15),67% (8/12),46,42,0,0,0,0,11,5,0,0,1.52,0.02,0.01,-0.67,5,0,7,4,15,20,5,11,1,0,67% (30/45),48% (29/61),84% (214/254),60% (30/50),92% (670/726),79% (248/312),69%,31%,0,0,11,1,4,0,11,0,4,1,36,5,15,1,0.33,0.01,0.01,0.33
8zii4o8l,1,0,9,28,1.82,0.72,6,2,,,6% (1/16),10% (1/10),3,12,88% (14/16),50% (6/12),40,42,0,0,0,0,11,11,2,1,3.13,0.30,0.15,1.45,7,0,5,14,13,14,11,11,1,0,54% (13/24),31% (9/29),83% (185/223),76% (56/74),89% (537/602),85% (308/364),62%,38%,3,1,18,3,9,4,11,3,13,3,53,12,27,7,3.45,0.15,0.15,3.45
EDVHknge,0,0,35,27,1.58,1.25,4,9,,,19% (3/16),17% (4/24),4,4,72% (13/18),72% (13/18),77,54,0,0,0,1,16,19,0,2,1.47,0.54,0.62,-0.73,5,1,10,9,24,21,19,16,1,0,47% (26/55),38% (16/42),76% (70/92),64% (78/122),81% (317/392),75% (226/301),56%,44%,1,5,8,4,4,11,4,6,7,4,17,26,12,15,2.27,0.62,0.62,2.27
xGr8037D,0,1,8,24,0.90,0.69,5,3,,,50% (9/18),36% (4/11),3,3,57% (8/14),67% (10/15),49,43,0,0,0,0,13,12,2,0,0.54,1.81,-1.02,0.41,1,5,12,6,25,19,12,13,1,0,50% (23/46),53% (18/34),63% (59/94),66% (50/76),80% (270/339),79% (267/337),51%,49%,3,1,5,6,7,4,6,4,3,6,20,19,12,11,0.41,1.98,1.98,0.41
URz3J2e2,0,0,25,23,1.57,0.19,5,0,,,29% (5/17),22% (2/9),4,5,77% (10/13),67% (6/9),51,48,0,0,0,0,21,12,3,3,2.48,0.35,0.97,-0.30,4,0,7,9,14,24,12,21,1,0,46% (22/48),43% (22/51),68% (98/144),57% (37/65),85% (393/463),79% (285/363),56%,44%,3,2,12,3,8,4,8,2,9,3,33,6,20,7,3.70,0.97,0.97,3.70
tlka2Px1,0,0,34,17,0.44,1.93,0,7,,,33% (1/3),33% (10/30),6,1,76% (19/25),86% (6/7),54,45,0,0,0,1,15,18,5,0,1.17,2.26,1.34,-0.83,2,4,5,7,12,18,18,15,0,1,50% (28/56),67% (29/43),46% (27/59),81% (128/158),74% (184/248),91% (502/550),30%,70%,4,7,3,13,7,7,3,6,3,7,12,28,10,20,1.17,2.34,2.34,1.17
ljAK97pR,1,0,14,37,0.95,0.68,10,0,,,18% (6/33),22% (2/9),0,6,65% (17/26),73% (19/26),53,62,0,0,0,1,14,14,2,1,0.73,0.92,-1.27,-0.44,1,2,9,6,15,17,14,14,0,0,58% (29/50),46% (25/54),77% (138/179),62% (41/66),89% (457/512),83% (360/436),55%,45%,4,2,6,4,10,2,5,2,7,2,29,17,16,6,0.56,0.73,0.73,0.56
