mid,Acertou na trave_casa,Acertou na trave_fora,Alívios_casa,Alívios_fora,Assistências esperadas (xA)_casa,Assistências esperadas (xA)_fora,Cantos_casa,Cantos_fora,Cartões amarelos_casa,Cartões amarelos_fora,Cruzamentos_casa,Cruzamentos_fora,Defesas guarda-redes_casa,Defesas guarda-redes_fora,Desarmes_casa,Desarmes_fora,Duelos ganhos_casa,Duelos ganhos_fora,Erros que dão golo_casa,Erros que dão golo_fora,Erros que dão remate_casa,Erros que dão remate_fora,Faltas_casa,Faltas_fora,Foras de Jogo_casa,Foras de Jogo_fora,Golos esperados (xG)_casa,Golos esperados (xG)_fora,Golos evitados_casa,Golos evitados_fora,Grandes oportunidades_casa,Grandes oportunidades_fora,Interceções_casa,Interceções_fora,Lançamentos_casa,Lançamentos_fora,Livres_casa,Livres_fora,Passes em profundidade certos_casa,Passes em profundidade certos_fora,Passes longos_casa,Passes longos_fora,Passes no último terço_casa,Passes no último terço_fora,Passes_casa,Passes_fora,Posse de bola_casa,Posse de bola_fora,Remates bloqueados_casa,Remates bloqueados_fora,Remates dentro da área_casa,Remates dentro da área_fora,Remates fora da área_casa,Remates fora da área_fora,Remates para fora_casa,Remates para fora_fora,Remates à baliza_casa,Remates à baliza_fora,Toques na área adversária_casa,Toques na área adversária_fora,Total remates_casa,Total remates_fora,xG remates à baliza (xGOT)_casa,xG remates à baliza (xGOT)_fora,xGOT enfrentado_casa,xGOT enfrentado_fora
IcJBYh6e,1,1,31,16,1.95,1.24,6,9,3,3,38% (8/21),32% (11/34),2,6,64% (16/25),67% (6/9),58,45,0,0,1,0,12,10,1,1,2.45,1.29,0.17,0.84,4,1,15,3,16,27,10,12,1,0,37% (24/65),57% (31/54),59% (68/116),71% (110/154),70% (175/251),82% (333/408),38%,62%,2,7,10,12,3,8,3,11,8,2,24,36,13,20,2.84,0.17,0.17,2.84
ppL3zFyq,0,0,22,38,0.58,0.82,5,3,1,5,19% (5/27),11% (1/9),2,2,78% (7/9),57% (8/14),55,47,0,0,1,0,12,17,1,2,0.71,0.63,0.29,0.62,1,2,8,6,18,19,17,12,0,1,39% (23/59),37% (22/59),63% (69/110),39% (29/74),79% (308/389),71% (200/282),59%,41%,5,0,10,3,4,3,7,4,2,2,26,7,14,6,0.62,0.29,0.29,0.62
f5SwUIIi,0,0,28,9,1.27,1.64,2,9,3,2,45% (5/11),30% (6/20),4,5,47% (7/15),44% (7/16),40,43,0,0,4,0,9,12,1,2,1.51,4.22,-0.77,0.09,1,6,10,7,15,17,12,9,0,0,41% (15/37),44% (15/34),79% (71/90),75% (114/153),83% (356/430),85% (393/464),47%,53%,2,4,12,15,4,4,8,7,6,8,21,56,16,19,1.09,2.23,2.23,1.09
lS5CDcYA,1,1,15,22,0.91,0.41,6,5,1,2,27% (7/26),29% (2/7),1,1,41% (7/17),45% (5/11),33,38,0,0,1,0,9,8,3,2,0.56,0.47,0.07,-0.17,2,3,7,7,13,18,8,9,0,0,39% (13/33),57% (25/44),74% (83/112),53% (30/57),87% (357/412),85% (367/431),50%,50%,3,0,5,5,6,2,6,6,2,1,20,19,11,7,0.83,0.07,0.07,0.83
rRbLBy3N,0,0,13,18,1.54,0.75,6,1,0,1,27% (4/15),29% (2/7),1,2,67% (12/18),55% (12/22),51,45,0,0,0,0,13,14,1,1,1.61,0.64,0.09,-0.59,1,1,7,5,8,15,14,13,0,0,63% (20/32),59% (26/44),79% (100/127),80% (71/89),91% (525/579),82% (292/355),62%,38%,5,2,11,3,4,7,5,7,5,1,33,16,15,10,2.41,0.09,0.09,2.41
A1I2OEnT,1,0,22,13,2.04,0.61,5,6,3,1,21% (3/14),10% (2/21),1,1,80% (16/20),60% (9/15),57,45,0,0,1,2,12,12,3,1,1.78,0.62,-0.41,-1.50,5,1,5,8,18,23,12,12,0,1,47% (34/73),48% (27/56),71% (68/96),66% (82/124),81% (376/467),81% (325/402),53%,47%,4,6,11,4,5,7,8,3,4,2,23,20,16,11,1.50,0.59,0.59,1.50
UoaZIhAj,0,1,10,28,0.60,0.37,7,1,1,5,7% (1/14),0% (0/4),2,2,71% (10/14),72% (13/18),37,49,0,0,0,0,13,9,1,1,2.38,0.71,-0.24,-0.05,3,1,6,12,26,15,9,13,0,0,57% (8/14),44% (27/61),83% (222/266),33% (10/30),91% (628/692),74% (183/246),74%,26%,4,0,7,4,7,2,6,2,4,4,26,9,14,6,1.95,1.76,1.76,1.95
OpKfQzIG,0,0,34,47,1.63,0.60,9,0,1,0,23% (7/30),11% (1/9),2,4,92% (11/12),64% (9/14),48,60,1,0,0,0,17,14,3,0,2.44,0.75,0.03,0.42,5,2,9,8,27,22,14,17,0,1,41% (20/49),35% (21/60),69% (100/145),71% (88/124),74% (204/276),81% (350/431),41%,59%,8,1,13,2,7,4,7,2,5,3,39,11,20,6,1.42,1.03,1.03,1.42
2VVoSdm4,0,1,31,28,0.21,0.78,2,6,4,3,25% (2/8),27% (6/22),5,1,56% (5/9),45% (5/11),46,47,0,0,0,0,17,13,1,2,0.93,1.39,1.82,-0.09,1,1,7,7,21,15,13,17,0,0,43% (23/54),28% (9/32),46% (32/69),64% (72/112),68% (148/219),83% (338/406),35%,65%,1,4,3,8,2,5,1,5,3,4,9,21,5,13,1.91,1.82,1.82,1.91
vcpi6FQp,0,0,17,24,0.92,0.45,8,5,,,41% (7/17),27% (4/15),0,6,69% (11/16),67% (14/21),45,44,0,0,1,0,11,9,2,1,0.91,0.50,0.00,1.16,1,1,11,10,14,22,9,11,0,0,49% (18/37),23% (9/40),66% (87/132),62% (39/63),82% (322/395),78% (275/352),53%,47%,5,3,7,5,7,6,3,8,6,0,31,15,14,11,1.16,0.00,0.00,1.16
