minuto_est,faltas_total,faltas_pred,fl_live_line,fl_live_signal,live_line,live_signal,captured_at
30,4,21.3,24.5,UNDER-3.2,,,2026-08-13T19:00:10.854247+00:00
31,4,21.0,24.5,UNDER-3.5,,,2026-08-13T19:01:10.854342+00:00
32,5,21.8,25.5,UNDER-3.7,,,2026-08-13T19:02:10.854129+00:00
33,5,21.5,24.5,UNDER-3.0,,,2026-08-13T19:03:10.854216+00:00
34,5,21.2,24.5,UNDER-3.3,,,2026-08-13T19:04:10.855554+00:00
34,5,21.2,24.5,UNDER-3.3,,,2026-08-13T19:04:40.854248+00:00
35,5,20.9,24.5,UNDER-3.6,,,2026-08-13T19:05:10.854333+00:00
36,5,20.6,23.5,UNDER-2.9,,,2026-08-13T19:06:10.854315+00:00
36,5,20.6,23.5,UNDER-2.9,,,2026-08-13T19:06:40.854239+00:00
37,5,20.3,23.5,UNDER-3.2,,,2026-08-13T19:07:40.854239+00:00
38,5,20.0,23.5,UNDER-3.5,,,2026-08-13T19:08:10.854427+00:00
38,5,20.0,22.5,UNDER-2.5,,,2026-08-13T19:08:40.854339+00:00
39,5,19.7,22.5,UNDER-2.8,,,2026-08-13T19:09:10.854199+00:00
39,5,19.7,22.5,UNDER-2.8,,,2026-08-13T19:09:40.854168+00:00
40,5,19.4,22.5,UNDER-3.1,,,2026-08-13T19:10:10.855180+00:00
41,5,19.2,21.5,NEU-2.3,,,2026-08-13T19:11:10.854123+00:00
41,5,19.2,21.5,NEU-2.3,,,2026-08-13T19:11:40.854193+00:00
42,5,18.9,21.5,UNDER-2.6,,,2026-08-13T19:12:10.854128+00:00
42,5,18.9,21.5,UNDER-2.6,,,2026-08-13T19:12:40.854254+00:00
43,5,18.6,21.5,UNDER-2.9,,,2026-08-13T19:13:40.854215+00:00
44,6,19.3,21.5,NEU-2.2,,,2026-08-13T19:14:40.854327+00:00
45,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:15:40.854464+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:16:10.854223+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:16:40.854104+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:17:10.854124+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:17:40.854134+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:18:40.854344+00:00
-1,6,19.0,21.5,UNDER-2.5,,,2026-08-13T19:19:40.863401+00:00
