minuto_est,faltas_total,faltas_pred,fl_live_line,fl_live_signal,live_line,live_signal,captured_at
15,6,27.7,26.5,NEU+1.2,44.5,UNDER-4.3,2026-08-13T19:00:10.854247+00:00
16,6,27.4,26.5,NEU+0.9,44.5,UNDER-4.7,2026-08-13T19:01:10.854342+00:00
17,6,27.1,25.5,NEU+1.6,44.5,UNDER-4.1,2026-08-13T19:02:10.854129+00:00
18,6,26.8,25.5,NEU+1.3,44.5,UNDER-4.5,2026-08-13T19:03:10.854216+00:00
19,6,26.5,24.5,NEU+2.0,43.5,NEU-3.9,2026-08-13T19:04:10.855554+00:00
19,6,26.5,24.5,NEU+2.0,43.5,NEU-3.9,2026-08-13T19:04:40.854248+00:00
20,6,26.2,24.5,NEU+1.7,43.5,UNDER-4.3,2026-08-13T19:05:10.854333+00:00
21,6,25.9,24.5,NEU+1.4,43.5,UNDER-4.7,2026-08-13T19:06:10.854315+00:00
21,6,25.9,24.5,NEU+1.4,43.5,NEU-3.7,2026-08-13T19:06:40.854239+00:00
22,6,25.6,24.5,NEU+1.1,43.5,UNDER-4.1,2026-08-13T19:07:40.854239+00:00
23,6,25.4,23.5,NEU+1.9,43.5,UNDER-4.4,2026-08-13T19:08:10.854427+00:00
23,6,25.4,23.5,NEU+1.9,43.5,UNDER-4.4,2026-08-13T19:08:40.854339+00:00
24,6,25.1,23.5,NEU+1.6,42.5,NEU-3.8,2026-08-13T19:09:10.854199+00:00
24,6,25.1,23.5,NEU+1.6,42.5,NEU-3.8,2026-08-13T19:09:40.854168+00:00
25,7,25.8,24.5,NEU+1.3,42.5,UNDER-4.2,2026-08-13T19:10:10.855180+00:00
26,7,25.5,24.5,NEU+1.0,41.5,NEU-3.6,2026-08-13T19:11:10.854123+00:00
26,8,26.5,25.5,NEU+1.0,41.5,NEU-3.6,2026-08-13T19:11:40.854193+00:00
27,8,26.2,25.5,NEU+0.7,41.5,UNDER-4.0,2026-08-13T19:12:10.854128+00:00
27,8,26.2,25.5,NEU+0.7,41.5,UNDER-4.0,2026-08-13T19:12:40.854254+00:00
28,8,25.9,24.5,NEU+1.4,40.5,NEU-3.4,2026-08-13T19:13:40.854215+00:00
29,8,25.6,24.5,NEU+1.1,40.5,NEU-3.8,2026-08-13T19:14:40.854327+00:00
30,8,25.3,24.5,NEU+0.8,39.5,NEU-3.2,2026-08-13T19:15:40.854464+00:00
31,8,25.0,24.5,NEU+0.5,39.5,NEU-3.6,2026-08-13T19:16:10.854223+00:00
31,8,25.0,24.5,NEU+0.5,39.5,NEU-2.6,2026-08-13T19:16:40.854104+00:00
