mid,home,away
xQXUa3UG,Brighton,Manchester Utd
buMwbsaT,Burnley,Wolves
UNC9hLMj,Crystal Palace,Arsenal
pWfdGOEc,Fulham,Newcastle
Iqg4E2qA,Liverpool,Brentford
zLXUefTr,Manchester City,Aston Villa
roywfYce,Nottingham,Bournemouth
40PohCS7,Sunderland,Chelsea
W6HXFFKE,Tottenham,Everton
CGPuEgkR,West Ham,Leeds
Uu6uknGb,Chelsea,Tottenham
rkXMW40U,Bournemouth,Manchester City
Gxt6zm15,Arsenal,Burnley
z1yE3oVi,Newcastle,West Ham
MF2Xj8on,Brentford,Crystal Palace
jeflmQpB,Everton,Sunderland
OM7eo4FN,Leeds,Brighton
WSUM1Pa4,Wolves,Fulham
r7lSurwo,Manchester Utd,Nottingham
AyZEYQVH,Aston Villa,Liverpool
xfi4Ju8N,Manchester City,Crystal Palace
nclkvV1t,Tottenham,Leeds
8Cxbx9Wh,West Ham,Arsenal
UmvdMdte,Burnley,Aston Villa
Med3KzB7,Crystal Palace,Everton
xWhvMmnC,Nottingham,Newcastle
4IfWN9Ha,Manchester City,Brentford
YLpmOIBr,Brighton,Wolves
2iZkrv3E,Fulham,Bournemouth
dY8uKRGO,Sunderland,Manchester Utd
8j1NPVnm,Liverpool,Chelsea
rTwrFuZR,Everton,Manchester City
n1pZG14F,Chelsea,Nottingham
jFEYCXop,Aston Villa,Tottenham
zRIM7cR1,Manchester Utd,Liverpool
buItBBGd,Bournemouth,Crystal Palace
6sw2IgOM,Arsenal,Fulham
EmnRINZ2,Brentford,West Ham
tO58V0J8,Newcastle,Brighton
xjaHTvlL,Wolves,Sunderland
EBUD9Jdk,Leeds,Burnley
tQzy4f9T,Manchester Utd,Brentford
OQsq6PYa,Arsenal,Newcastle
YaXS5GvH,Liverpool,Crystal Palace
h44gMyPc,West Ham,Everton
bHZgKFgA,Wolves,Tottenham
CpqK7xA4,Fulham,Aston Villa
0AH7bYWj,Sunderland,Nottingham
Khyh433C,Bournemouth,Leeds
6mtC9buh,Burnley,Manchester City
jubPoemo,Brighton,Chelsea
pbPN0UdK,Crystal Palace,West Ham
U3M9iQJ6,Manchester City,Arsenal
xzTRt95l,Aston Villa,Sunderland
GtGge8Ks,Everton,Liverpool
hx84D7tQ,Nottingham,Burnley
42nywR4D,Chelsea,Manchester Utd
xAqy8o4m,Tottenham,Brighton
djO1gnkf,Leeds,Wolves
QVFIk4lJ,Newcastle,Bournemouth
dxqTvmz1,Brentford,Fulham
dG7hS9je,Manchester Utd,Leeds
bLP5yET8,Chelsea,Manchester City
WYNDZibL,Crystal Palace,Newcastle
IVe1QmL7,Nottingham,Aston Villa
pxlmliDE,Sunderland,Tottenham
jJ4pUVLr,Liverpool,Fulham
AoUBFW6k,Brentford,Everton
rDsJDAy2,Burnley,Brighton
jcHwYvNG,Arsenal,Bournemouth
t4sdnVsR,West Ham,Wolves
U7CL8Og5,Aston Villa,West Ham
n5KMyNNi,Tottenham,Nottingham
fBXzEJVp,Newcastle,Sunderland
UTmdL1wB,Leeds,Brentford
0lduPqvn,Everton,Chelsea
8EamNN8b,Fulham,Burnley
bm4x5tgU,Brighton,Liverpool
QZ5U62OH,Bournemouth,Manchester Utd
