mid,home,away
lQQTzpqQ,Atletico Mg,Vasco
YyRPIpNs,Botafogo Rj,Fortaleza
ll9GRu6C,Ceara,Palmeiras
t2UXGOif,Corinthians,Ec Juventude
l4kgO6aK,Bahia,Fluminense
K8HaVN6m,Bragantino,Internacional
xUNtF2M6,Cruzeiro,Santos
rm2PPJzP,Gremio,Sport Recife
tO58T1y0,Sao Paulo,Vitoria
AsMlDtiJ,Flamengo Rj,Mirassol
2ZBCBTFE,Botafogo Rj,Cruzeiro
Cj0mREE8,Atletico Mg,Palmeiras
h0MSBxAc,Ceara,Flamengo Rj
8zii4o8l,Bahia,Sport Recife
EDVHknge,Internacional,Sao Paulo
xGr8037D,Ec Juventude,Santos
URz3J2e2,Bragantino,Vitoria
tlka2Px1,Corinthians,Fortaleza
ljAK97pR,Fluminense,Gremio
naFyAGvA,Mirassol,Vasco
YLYhUvRH,Atletico Mg,Fortaleza
nPbSrvtB,Botafogo Rj,Corinthians
tMhAgefT,Ceara,Cruzeiro
Yek2eHPG,Mirassol,Vitoria
8vmysIAN,Santos,Sport Recife
tSeKp0Bb,Internacional,Vasco
QgUtlZHj,Bahia,Ec Juventude
p02BnMtn,Fluminense,Sao Paulo
vNw7ydYp,Bragantino,Fortaleza
fVLgaaQi,Atletico Mg,Flamengo Rj
SrK1cwe4,Gremio,Palmeiras
QknxYMRh,Internacional,Santos
vaDJFuCO,Ceara,Mirassol
IPrUZrct,Corinthians,Cruzeiro
UmS1SIeU,Sport Recife,Vitoria
n5zoW0d5,Bahia,Vasco
6oFBH1sC,Ec Juventude,Sao Paulo
bNjNwhbE,Bragantino,Flamengo Rj
Qy73JNCa,Fluminense,Palmeiras
IB3eLqrm,Botafogo Rj,Gremio
CErzIAye,Ceara,Internacional
4piOQp3S,Corinthians,Sao Paulo
v1pSJW6r,Bahia,Fortaleza
WGbyGl67,Cruzeiro,Ec Juventude
z5a7US33,Flamengo Rj,Fluminense
KG3ePhqL,Gremio,Vasco
OUXfLOQk,Mirassol,Santos
Iox9i8Or,Palmeiras,Vitoria
WWhGS6YF,Botafogo Rj,Sport Recife
MwZPmQN7,Atletico Mg,Bragantino
dv6oSgXr,Palmeiras,Santos
GKpCDfIk,Flamengo Rj,Sport Recife
GGAOhZbD,Atletico Mg,Fortaleza
Ms9D8osp,Fortaleza,Gremio
8vqvfnSj,Mirassol,Palmeiras
lEpj5Czh,Flamengo Rj,Santos
Gt4a1UZG,Ceara,Corinthians
MJQQHkKc,Cruzeiro,Fluminense
jaIsE7JM,Botafogo Rj,Vitoria
xdh8a84T,Bragantino,Sao Paulo
fXOYFTlA,Bahia,Internacional
8G0i3j54,Ec Juventude,Vasco
rccM6PBd,Atletico Mg,Sport Recife
YP8tk0pf,Palmeiras,Santos
2JuWaHbC,Ceara,Fortaleza
2yZ1drhK,Fluminense,Mirassol
Ui2kmvF6,Flamengo Rj,Sao Paulo
IDrp9LyQ,Atletico Mg,Bahia
YwlF3aam,Cruzeiro,Gremio
n9AYjMFs,Botafogo Rj,Vasco
250coIqJ,Bragantino,Corinthians
dKc4s9ro,Ec Juventude,Sport Recife
fgxO1wUa,Internacional,Vitoria
j38gV5gL,Sao Paulo,Vasco
lY8SsqwR,Atletico Mg,Internacional
zVtGYv0D,Ec Juventude,Palmeiras
6kkaxN0l,Bahia,Bragantino
v3m7z1V0,Ceara,Fluminense
nZgPPqHr,Corinthians,Gremio
fyFpXRO8,Flamengo Rj,Sport Recife
0CSXL1G7,Botafogo Rj,Mirassol
t85Kq58E,Cruzeiro,Vitoria
hnPPNNoe,Fortaleza,Santos
lWodnIJj,Ceara,Fluminense
n7czHFYA,Cruzeiro,Palmeiras
IeXE9XQp,Bragantino,Vasco
vsfSIy4b,Botafogo Rj,Santos
6HD9VEm4,Ec Juventude,Gremio
8MoqFg3N,Bahia,Sao Paulo
6FYkBp2k,Flamengo Rj,Fortaleza
SUMb9OW1,Mirassol,Sport Recife
rF0JKcZo,Fluminense,Internacional
Y3F1XzJi,Atletico Mg,Ceara
2q7IThIG,Corinthians,Vitoria
YH8ywW2b,Bahia,Internacional
Y5pU5U8C,Santos,Vitoria
ptCtFYoQ,Fluminense,Vasco
S2Q90flU,Bragantino,Ec Juventude
vTEg4xk5,Bahia,Gremio
ngI12GJH,Botafogo Rj,Ceara
IDQp6bKh,Internacional,Sport Recife
6Jrx48wP,Mirassol,Sao Paulo
K2KfiVgJ,Flamengo Rj,Palmeiras
AmNx8Kkt,Cruzeiro,Fortaleza
UDmD9C9m,Atletico Mg,Corinthians
MVjUv14d,Ec Juventude,Fluminense
feZUdZPs,Bahia,Vitoria
OfcbFst9,Gremio,Sao Paulo
raKBivl2,Atletico Mg,Cruzeiro
jNSweDff,Fortaleza,Vasco
GlzXbMeS,Corinthians,Santos
zZG3g0Jk,Internacional,Mirassol
OzRogiP6,Ceara,Sport Recife
lxqG24d3,Botafogo Rj,Flamengo Rj
ryxP0rRF,Bragantino,Palmeiras
xhSj8atA,Ec Juventude,Palmeiras
GtMnQX1e,Fluminense,Mirassol
nRmLztMU,Atletico Mg,Sport Recife
UXBknqCM,Ceara,Santos
M9FgSNKj,Cruzeiro,Sport Recife
AVell5sA,Bahia,Flamengo Rj
0G2LtNZq,Ec Juventude,Fortaleza
UBzFZ5SG,Palmeiras,Sao Paulo
txPbwlTi,Vasco,Vitoria
x4I7ySc4,Corinthians,Mirassol
jRONXqcT,Bragantino,Gremio
lrxDFpyo,Atletico Mg,Fluminense
xIctjRCc,Botafogo Rj,Internacional
