mid,home,away
IcJBYh6e,Casa Pia,Torreense
ppL3zFyq,Casa Pia,Torreense
f5SwUIIi,Benfica,Estoril
lS5CDcYA,Alverca,Famalicao
rRbLBy3N,Gil Vicente,Sporting Cp
A1I2OEnT,Arouca,Tondela
UoaZIhAj,Braga,Estrela Da Amadora
OpKfQzIG,Casa Pia,Rio Ave
2VVoSdm4,Nacional,Vitoria Guimaraes
vcpi6FQp,Fc Porto,Santa Clara
t224FJ3b,Afs,Moreirense
KnEeHuZo,Benfica,Braga
fVBU2tKh,Estrela Da Amadora,Famalicao
676hNSk1,Arouca,Gil Vicente
OA3oabJH,Rio Ave,Sporting Cp
UNYocxlU,Nacional,Santa Clara
C490L6KD,Moreirense,Tondela
AuDqPlLl,Casa Pia,Vitoria Guimaraes
jc5w1Kl5,Alverca,Estoril
n58M42kt,Afs,Fc Porto
jVdAAk6e,Sporting Cp,Vitoria Guimaraes
OKCVHXDL,Gil Vicente,Rio Ave
E9RDUAcR,Braga,Estoril
CpoJ8Tz8,Casa Pia,Tondela
j7ENJgq9,Alverca,Fc Porto
r5g2CByq,Benfica,Famalicao
IsY4WWSE,Arouca,Santa Clara
jHHydji2,Estrela Da Amadora,Moreirense
riETcCMk,Afs,Nacional
Ya1ycHJ5,Sporting Cp,Tondela
URCJWZNj,Casa Pia,Gil Vicente
CnnNjeFM,Afs,Sporting Cp
vcW1qD7d,Estrela Da Amadora,Fc Porto
jXcEhHpA,Braga,Santa Clara
rVxgoZxp,Estoril,Famalicao
bJxc3YbS,Rio Ave,Vitoria Guimaraes
jgZl5fUF,Benfica,Moreirense
pze6fwGc,Nacional,Tondela
WjJm7Ga3,Alverca,Arouca
n3qAtdZO,Braga,Casa Pia
fTUmtmem,Estoril,Moreirense
bujnkrvI,Braga,Famalicao
2Ddwi495,Fc Porto,Tondela
I7FDzqPO,Benfica,Sporting Cp
UoqWhQvg,Arouca,Estrela Da Amadora
8WfNfnAt,Gil Vicente,Vitoria Guimaraes
MuM4x5fC,Casa Pia,Santa Clara
lSNdvRPa,Alverca,Nacional
OpvIo9XP,Afs,Rio Ave
re4uFAdl,Gil Vicente,Tondela
dIAeBSeD,Estoril,Fc Porto
rk1VN5uJ,Benfica,Nacional
OAN8KWYQ,Arouca,Braga
r9qET9Bs,Alverca,Casa Pia
OO2sZVmK,Estrela Da Amadora,Sporting Cp
zPcNPRA6,Rio Ave,Santa Clara
z3MnDlR0,Afs,Vitoria Guimaraes
GMsMRmtf,Famalicao,Moreirense
lYr60Bse,Benfica,Casa Pia
zksEbkC7,Arouca,Estoril
QiZGM1bc,Famalicao,Fc Porto
SIfc2XCr,Braga,Moreirense
YcnVbb6j,Alverca,Rio Ave
Gt6b4KrT,Estrela Da Amadora,Nacional
MJSPKuT9,Santa Clara,Sporting Cp
jcP0Mh4E,Tondela,Vitoria Guimaraes
8G2j6tEG,Afs,Gil Vicente
vyBZ9OEi,Braga,Fc Porto
KGPI9f3B,Alverca,Sporting Cp
CjMABGYb,Estoril,Rio Ave
6DaqeelI,Afs,Tondela
n1Es82q4,Benfica,Vitoria Guimaraes
CE4c2Ceo,Gil Vicente,Santa Clara
GrJR7YXN,Famalicao,Nacional
jyY1Dx4n,Arouca,Moreirense
2ughgZIU,Casa Pia,Estrela Da Amadora
vwt2rI4C,Fc Porto,Moreirense
WEHD48LE,Estrela Da Amadora,Rio Ave
jH9K0aKt,Afs,Santa Clara
48PRt5T7,Estoril,Nacional
xY7Sbwkg,Arouca,Benfica
Aclon05m,Alverca,Gil Vicente
